0	gestational diabetes	NA	NA	ABSTRACT	Knowledge regarding the genetic risk loci for gestational diabetes mellitus (GDM) is still limited.
1	NA	CDKAL1	NA	DISCUSS	Among the known type 2 diabetes-related genes, those that are thought to modulate pancreatic beta-cell function were preferentially associated with GDM (CDKAL1, MTNR1B, IGF2BP2, CDKN2A/2B, SLC30A8, IDE, KCNQ1, and CENTD2) (Table 4).
0	NA	insulin	NA	DISCUSS	In contrast, loci relevant to insulin resistance, such as FTO, PPARG, IRS1, KLF14, and GCKR were not significantly associated with GDM (Table 4).
0	pancreatic	insulin	NA	DISCUSS	These findings support the previous notion that defective pancreatic beta-cell compensation to overcome increased insulin resistance during pregnancy might be the core pathophysiology of GDM
0	NA	NA	NA	DISCUSS	There are certain limitations in our study.
0	NA	NA	NA	DISCUSS	First, the sample size was relatively modest for a GWA, and we had limited power in detecting possible variants with small effect size.
0	NA	NA	NA	DISCUSS	Assuming a 2.2% prevalence of GDM, a disease allele frequency of 0.3, and a genotype relative risk of 1.5 in a multiplicative model, our study had 93% power.
0	NA	NA	NA	DISCUSS	However, when genotype relative risk was assumed to be 1.4, the power dropped to 68%.
0	NA	NA	NA	DISCUSS	It is possible that variants with a small effect would not have been detected in our study.
0	NA	NA	NA	DISCUSS	Therefore, we might have missed genetic variants that have a small effect but are specific to GDM.
0	NA	NA	NA	DISCUSS	Regarding the study design, the control group was not fully evaluated for their glucose tolerance status during pregnancy and parity.
0	NA	NA	NA	DISCUSS	It is possible that women with GDM might have been included in the control group.
0	diabetes	NA	NA	DISCUSS	However, because the prevalence of GDM was estimated to be 2.2% in Korean women, and approximately one-half of these women progress to type 2 diabetes within 10 years, only ~<=1% of women with GDM would have been included in the control group.
0	NA	NA	NA	DISCUSS	Therefore, we speculate that the ascertainment bias would have been minimal.
0	NA	NA	NA	DISCUSS	In studying genetic variants of GDM, the ideal control group would be pregnant women with normal glucose tolerance.
0	NA	NA	NA	DISCUSS	However, we were only able to use nondiabetic control women as control subjects.
1	NA	CDKAL1	NA	DISCUSS	This could be one of the reasons that variants in CDKAL1 and MTNR1B were most significantly associated with GDM in our study.
0	NA	NA	NA	DISCUSS	In this regard, the results of our study should be interpreted cautiously
1	NA	CDKAL1	NA	DISCUSS	In conclusion, we have performed a GWA study in the context of GDM for the first time and confirmed that variants in CDKAL1 and MTNR1B confer the risk of GDM with genome-wide significance.
0	diabetes	NA	NA	DISCUSS	By comparing genetic variants in GDM and type 2 diabetes, we provide evidence that they share a similar genetic background.
0	NA	NA	NA	DISCUSS	We hope that even larger GWA studies of GDM and meta-GWA studies could further reveal the genetic risk loci for GDM
